Упакованное внимание, RTX 5090 (170 SM), 16 слоёв, KV fp8; мкс на слой

Сегмент одной последовательности
  строк |  старт |            MMA |    упакованное |     P=1 |     P=2 |     P=3 |     P=4 |     P=5 |     P=6 |     P=7 |     P=8 |     P=9 |    P=10 |    P=11 |    P=12 |    P=13 |    P=14 |    P=15 |    P=16 |    P=17 |    P=18 |    P=19 |    P=20 |    P=21 |    P=22 |    P=23 |    P=24 |    P=25 |    P=26 |    P=27 |    P=28 |    P=29 |    P=30 |    P=31 |    P=32 |    P=33 |    P=34 |    P=35 |    P=36 |    P=37 |    P=38 |    P=39 |    P=40 |    P=41 |    P=42 |    P=43 |    P=44 |    P=45 |    P=46 |    P=47 |    P=48
     64 |  30000 |            NaN |    271.5 (P=7) |  1759.7 |   876.3 |   593.9 |   461.8 |   372.2 |   321.5 |   270.6 |   458.6 |   422.1 |   367.2 |   337.1 |   317.1 |   291.0 |   268.5 |   341.3 |   358.5 |   338.1 |   328.4 |   310.3 |   304.6 |   285.2 |   304.6 |   353.0 |   330.5 |   311.7 |   315.5 |   293.9 |   283.4 |   282.9 |   330.2 |   328.3 |   313.8 |   320.0 |   312.9 |   301.5 |   302.3 |   341.2 |   340.1 |   342.3 |   311.7 |   307.9 |   308.4 |   314.9 |   307.7 |   315.4 |   311.5 |   307.5 |   318.2
     96 |  30000 |            NaN |   416.2 (P=14) |  1819.4 |   895.1 |   598.9 |   449.3 |   721.6 |   631.2 |   547.8 |   474.1 |   431.3 |   552.4 |   504.6 |   473.8 |   441.9 |   408.3 |   491.6 |   486.9 |   463.6 |   449.7 |   480.6 |   487.9 |   464.0 |   449.3 |   431.1 |   422.9 |   468.4 |   480.2 |   462.3 |   440.3 |   440.6 |   475.6 |   465.7 |   441.6 |   442.6 |   448.5 |   450.5 |   463.4 |   459.5 |   461.1 |   458.4 |   478.7 |   471.9 |   459.5 |   455.3 |   458.3 |   456.8 |   460.3 |   462.6 |   459.1
    128 |  30000 |            NaN |    544.9 (P=7) |  1794.8 |   884.0 |   593.5 |   908.5 |   747.5 |   623.0 |   529.0 |   673.2 |   613.2 |   552.9 |   667.2 |   640.8 |   598.2 |   557.9 |   596.2 |   591.5 |   552.4 |   537.5 |   609.1 |   596.9 |   574.2 |   585.9 |   609.7 |   567.9 |   595.4 |   593.9 |   591.2 |   593.1 |   589.9 |   621.4 |   614.1 |   571.7 |   572.2 |   591.3 |   598.5 |   617.5 |   628.7 |   633.0 |   633.9 |   618.5 |   617.0 |   618.1 |   620.6 |   637.5 |   641.5 |   641.4 |   632.8 |   627.0
    192 |  30000 |            NaN |    793.4 (P=7) |  1847.4 |   920.4 |  1185.8 |   894.8 |  1058.3 |   929.7 |   808.4 |   914.0 |   814.4 |   886.2 |   862.9 |   894.9 |   892.4 |   800.1 |   847.9 |   827.0 |   882.9 |   881.5 |   890.4 |   857.4 |   827.9 |   860.5 |   872.9 |   855.9 |   851.1 |   849.1 |   876.2 |   869.7 |   870.0 |   890.5 |   865.3 |   872.6 |   880.3 |   899.4 |   905.3 |   879.1 |   886.7 |   891.6 |   919.5 |   918.6 |   915.2 |   892.4 |   913.7 |   938.6 |   944.1 |   946.3 |   909.7 |   909.5
    256 |  30000 |            NaN |   1075.9 (P=7) |  1834.0 |  1762.3 |  1206.8 |  1368.8 |  1121.7 |  1211.5 |  1059.4 |  1181.7 |  1233.7 |  1121.5 |  1185.7 |  1139.6 |  1170.6 |  1085.6 |  1118.9 |  1178.2 |  1153.4 |  1096.8 |  1109.8 |  1176.3 |  1171.8 |  1136.1 |  1127.9 |  1168.5 |  1207.5 |  1206.8 |  1141.8 |  1154.3 |  1195.8 |  1210.4 |  1161.9 |  1156.8 |  1207.8 |  1224.8 |  1190.7 |  1192.9 |  1237.8 |  1232.7 |  1196.4 |  1217.1 |  1260.7 |  1253.9 |  1223.9 |  1242.1 |  1279.4 |  1262.3 |  1224.3 |  1257.3
    384 |  30000 |            NaN |   1638.7 (P=7) |  1803.9 |  1841.5 |  1841.2 |  1780.9 |  1848.2 |  1803.0 |  1566.5 |  1651.1 |  1636.2 |  1644.8 |  1728.6 |  1669.1 |  1673.6 |  1665.5 |  1636.6 |  1649.8 |  1722.3 |  1638.9 |  1721.1 |  1701.9 |  1663.6 |  1722.9 |  1744.3 |  1693.5 |  1768.0 |  1782.5 |  1740.6 |  1843.2 |  1799.4 |  1829.9 |  1810.4 |  1722.4 |  1799.0 |  1808.0 |  1735.8 |  1825.6 |  1766.5 |  1769.1 |  1835.6 |  1773.0 |  1847.6 |  1852.2 |  1776.7 |  1881.0 |  1850.0 |  1804.9 |  1919.4 |  1812.5
    512 |  30000 |            NaN |   2159.5 (P=7) |  3549.2 |  2754.6 |  2364.0 |  2318.0 |  2138.9 |  2195.0 |  2084.5 |  2327.4 |  2216.7 |  2252.7 |  2211.5 |  2195.2 |  2238.0 |  2154.6 |  2223.0 |  2182.2 |  2310.2 |  2168.9 |  2304.0 |  2194.5 |  2306.8 |  2218.3 |  2320.0 |  2319.9 |  2252.9 |  2355.1 |  2250.0 |  2370.1 |  2270.2 |  2403.3 |  2290.3 |  2412.1 |  2311.1 |  2431.4 |  2327.7 |  2456.4 |  2346.4 |  2460.5 |  2379.7 |  2481.1 |  2388.7 |  2494.3 |  2411.7 |  2524.2 |  2405.5 |  2521.3 |  2445.8 |  2562.5
     32 |  60000 |            NaN |   258.4 (P=14) |  3594.5 |  1730.1 |  1147.7 |   911.8 |   732.8 |   607.4 |   512.6 |   440.2 |   394.5 |   355.5 |   327.5 |   299.5 |   278.2 |   271.1 |   470.0 |   466.9 |   453.8 |   423.9 |   402.5 |   368.4 |   344.7 |   330.1 |   316.5 |   310.0 |   296.1 |   289.0 |   289.8 |   284.2 |   320.1 |   388.2 |   384.0 |   372.4 |   356.3 |   336.1 |   317.3 |   319.2 |   308.9 |   299.1 |   299.7 |   290.2 |   279.9 |   295.2 |   311.1 |   315.9 |   355.3 |   355.5 |   345.1 |   329.3
     48 |  60000 |            NaN |   443.3 (P=17) |  3473.6 |  1791.0 |  1156.2 |   875.9 |   739.4 |   623.7 |   533.4 |   458.4 |   742.0 |   705.5 |   648.4 |   626.2 |   587.2 |   529.2 |   501.2 |   467.0 |   427.1 |   545.7 |   566.5 |   529.0 |   532.2 |   519.8 |   493.7 |   482.8 |   466.4 |   439.0 |   532.5 |   524.0 |   511.8 |   494.7 |   505.0 |   487.7 |   473.3 |   466.3 |   549.5 |   522.1 |   530.6 |   514.3 |   510.4 |   501.4 |   496.4 |   497.6 |   509.0 |   511.3 |   532.3 |   526.2 |   505.0 |   501.2
     64 |  60000 |            NaN |    535.3 (P=7) |  3717.8 |  1826.2 |  1261.3 |   955.0 |   742.6 |   620.6 |   541.6 |   944.5 |   863.7 |   778.7 |   691.2 |   631.3 |   587.3 |   559.3 |   767.9 |   743.8 |   706.0 |   645.1 |   610.2 |   576.9 |   555.7 |   691.4 |   696.3 |   679.1 |   646.9 |   612.8 |   584.6 |   566.9 |   607.6 |   690.0 |   671.1 |   645.4 |   623.1 |   588.4 |   571.4 |   572.8 |   665.8 |   655.1 |   658.5 |   659.3 |   619.2 |   597.8 |   614.4 |   598.9 |   641.1 |   643.2 |   647.1 |   636.7
     96 |  60000 |            NaN |   825.0 (P=14) |  3752.6 |  1827.0 |  1231.9 |   957.7 |  1495.6 |  1227.7 |  1056.6 |   967.0 |   859.9 |  1119.8 |  1021.4 |   945.4 |   905.7 |   845.2 |   987.3 |   944.1 |   898.6 |   884.3 |   948.0 |   969.9 |   910.1 |   871.2 |   863.9 |   849.0 |   957.2 |   905.3 |   862.0 |   842.4 |   900.2 |   949.7 |   902.3 |   866.0 |   841.9 |   896.1 |   926.4 |   923.0 |   861.1 |   850.2 |   864.4 |   930.5 |   896.2 |   879.2 |   873.3 |   873.3 |   910.4 |   909.6 |   879.3 |   852.5
    128 |  60000 |            NaN |   1056.3 (P=7) |  3718.6 |  1828.0 |  1262.4 |  1877.1 |  1459.5 |  1276.5 |  1106.3 |  1372.1 |  1241.3 |  1150.7 |  1343.4 |  1239.5 |  1169.0 |  1131.1 |  1285.4 |  1168.0 |  1121.0 |  1202.9 |  1243.2 |  1129.3 |  1089.6 |  1243.4 |  1221.3 |  1151.3 |  1164.4 |  1255.3 |  1196.7 |  1131.9 |  1152.5 |  1236.2 |  1205.3 |  1131.5 |  1199.7 |  1203.5 |  1177.4 |  1141.2 |  1194.6 |  1188.5 |  1197.5 |  1210.9 |  1167.7 |  1188.2 |  1210.1 |  1190.6 |  1162.7 |  1184.9 |  1227.9 |  1224.1
    192 |  60000 |            NaN |   1584.4 (P=7) |  3743.3 |  1825.9 |  2510.9 |  1836.4 |  2284.7 |  1851.6 |  1660.1 |  1927.9 |  1673.3 |  1944.6 |  1763.3 |  1837.8 |  1820.5 |  1645.7 |  1764.9 |  1725.2 |  1721.5 |  1766.6 |  1792.5 |  1720.9 |  1714.0 |  1810.9 |  1756.8 |  1788.1 |  1730.2 |  1749.9 |  1875.9 |  1755.5 |  1799.9 |  1791.4 |  1673.0 |  1808.2 |  1730.8 |  1739.2 |  1735.8 |  1690.7 |  1745.0 |  1760.4 |  1715.4 |  1779.7 |  1799.6 |  1744.6 |  1794.7 |  1777.9 |  1746.0 |  1804.8 |  1724.5 |  1726.1
    256 |  60000 |            NaN |   2176.8 (P=7) |  3642.0 |  3664.4 |  2533.6 |  2751.0 |  2294.2 |  2445.2 |  2200.9 |  2299.1 |  2533.0 |  2241.8 |  2434.6 |  2194.5 |  2374.6 |  2170.0 |  2330.1 |  2331.7 |  2312.3 |  2229.8 |  2267.1 |  2273.8 |  2221.7 |  2302.6 |  2168.9 |  2275.4 |  2257.5 |  2334.3 |  2278.1 |  2329.7 |  2277.9 |  2358.2 |  2269.7 |  2360.0 |  2311.6 |  2334.3 |  2265.9 |  2351.0 |  2302.7 |  2364.4 |  2300.2 |  2386.9 |  2345.5 |  2366.4 |  2362.7 |  2336.6 |  2377.1 |  2320.0 |  2410.1 |  2340.1
    384 |  60000 |            NaN |   3276.5 (P=7) |  3786.4 |  3752.6 |  3736.7 |  3713.2 |  3817.4 |  3808.8 |  3216.3 |  3345.1 |  3409.3 |  3351.5 |  3379.4 |  3501.7 |  3491.4 |  3274.1 |  3396.8 |  3475.6 |  3377.7 |  3415.2 |  3489.5 |  3307.9 |  3325.1 |  3459.3 |  3471.4 |  3318.5 |  3464.9 |  3443.9 |  3317.8 |  3397.8 |  3469.7 |  3356.1 |  3407.5 |  3533.1 |  3571.8 |  3445.9 |  3490.4 |  3544.2 |  3443.3 |  3450.3 |  3526.8 |  3559.3 |  3443.0 |  3459.7 |  3565.8 |  3534.1 |  3531.3 |  3638.3 |  3641.1 |  3550.1
    512 |  60000 |            NaN |   4381.4 (P=7) |  7441.3 |  5631.8 |  4977.5 |  4676.7 |  4494.3 |  4364.8 |  4334.5 |  4735.0 |  4682.3 |  4557.1 |  4510.5 |  4460.1 |  4473.5 |  4369.1 |  4296.0 |  4500.9 |  4514.6 |  4495.0 |  4472.1 |  4523.1 |  4558.7 |  4530.7 |  4448.4 |  4567.2 |  4514.4 |  4515.5 |  4470.8 |  4552.3 |  4465.9 |  4525.5 |  4544.0 |  4629.4 |  4684.1 |  4641.5 |  4771.2 |  4780.0 |  4718.3 |  4709.7 |  4721.9 |  4758.5 |  4793.5 |  4849.2 |  4956.8 |  4844.5 |  4968.0 |  4916.0 |  4814.4 |  4791.5
